Taxa,Type,Vouchers ID , Botanical garden ID,Sample ID,Origin,rpoB,rpoC,matK,trnH-psbA,rpl32-trnL
Fraxinus texensis,A,P00729597,,269,Fort Worth Bot. Garden (Fort Worth U.S.A.),,,,HM367559,HM222887
Fraxinus tomentosa ,A,,2298-1961,255,Jardin botanique de Montr̩al (Montr̩al Canada),,,,HM367562,HM222888
Fraxinus tomentosa ,A,,,129,Arboretum Bayreuth (Bayreuth Deutschland),,,,HM367561,
Fraxinus tomentosa ,A,P00729669,,118,P̩pini̬re Adeline (La Chapelle Montlinard France),,,,HM367560,
Fraxinus trifoliata ,A,P00729611,14849*B2,242,Rancho Santa Anna Bot. Garden (Claremont U.S.A.),,,,,HM222891
Fraxinus trifoliata ,A,P00729613,17232*C2,241,Rancho Santa Anna Bot. Garden (Claremont U.S.A.),,,,HM367565,
Fraxinus turkestanica,A,,,130,Arboretum Bayreuth (Bayreuth Deutschland),,,,HM367566,HM222892
Fraxinus uhdei,A,,19890759,247,Cambridge University Botanic Garden (Cambridge U.K),,,,HM367567,HM222893
Fraxinus uhdei,A,P00729634,1636 Edgewood Drive,263,Canopy Association (Palo Alto U.S.A.),,,,HM367569,HM222895
Fraxinus uhdei,A,P00729562,1963-0485-P,265,Los Angeles County Arboretum and Botanic Garden (Los Angeles U.S.A.),,,,HM222896,
Fraxinus uhdei,A,P00729558,1967-1367-P,266,Los Angeles County Arboretum and Botanic Garden (Los Angeles U.S.A.),,,HM367570,HM222897,
Fraxinus uhdei,A,P00729642,3825 Fabian Way,260,Canopy Association (Palo Alto U.S.A.),,,,HM367568,HM222894
Fraxinus uhdei,A,P00729646,,275,Colvos Creek Nursery (Seattle U.S.A.),,,,,HM222898
Fraxinus velutina,A,P00729684,219,10,Arboretum National des Barres (Nogent-sur-Vernisson France),,GU991716,HM171488,HM222899,
Fraxinus velutina,A,,241,7,Arboretum National des Barres (Nogent-sur-Vernisson France),HM130659,GU991720,HM171525,HM367572,HM222903
Fraxinus velutina,A,P00729650,242,6,Arboretum National des Barres (Nogent-sur-Vernisson France),HM130658,GU991719,,HM222901,
Fraxinus velutina,A,P00729625,,63,Arboretum Ch̬vreloup (Rocquencourt France),,,,HM367571,HM222902
Fraxinus velutina,A,P00729663,,115,P̩pini̬re Adeline (La Chapelle Montlinard France),,,,,HM222900
Fraxinus velutina var. coriacea,A,P00729550,15292*C2,240,Rancho Santa Anna Bot. Garden (Claremont U.S.A.),,,,HM367574,HM222905
Fraxinus velutina var. coriacea,A,P00729687,5942*B3,239,Rancho Santa Anna Bot. Garden (Claremont U.S.A.),,,,HM367573,HM222904
Fraxinus velutina var. coriacea,A,P00729623,,64,Arboretum Ch̬vreloup (Rocquencourt France),,,,HM367575,HM222906
Fraxinus velutina var. glabra,A,P00729654,1149,36,Arboretum National des Barres (Nogent-sur-Vernisson France),,GU991717,HM171511,HM367576,HM222907
Fraxinus velutina var. glabra,A,,1150,37,Arboretum National des Barres (Nogent-sur-Vernisson France),HM130657,GU991718,HM171512,HM367577,HM222908
Fraxinus velutina var. toumeyi,A,P00729563,1977.0656*U,227,Sir Harold Hillier Garden (Romsey U.K.),,,,HM367579,HM222910
Fraxinus velutina var. toumeyi,A,P00729549,1977.5304*W,206,Sir Harold Hillier Garden (Romsey U.K.),,,,HM367578,HM222909
Fraxinus xanthoxyloides,A,P00729580,1986.2709*A,220,Sir Harold Hillier Garden (Romsey U.K.),,,,HM367581,HM222912
Fraxinus xanthoxyloides,A,,,62,Arboretum Ch̬vreloup (Rocquencourt France),,,,HM367582,HM222913
Fraxinus xanthoxyloides,A,P00729659,,113,P̩pini̬re Adeline (La Chapelle Montlinard France),,,,HM367580,HM222911
Fraxinus xanthoxyloides var. dimorpha,A,P00729694,229,8,Arboretum National des Barres (Nogent-sur-Vernisson France),,GU991721,HM171526,HM367584,HM222915
Fraxinus xanthoxyloides var. dimorpha,A,,259,9,Arboretum National des Barres (Nogent-sur-Vernisson France),HM130660,,,HM222916,
Fraxinus xanthoxyloides var. dimorpha,A,P00729676,3018,51,Arboretum National des Barres (Nogent-sur-Vernisson France),,,,HM367583,HM222914
Fraxinus xanthoxyloides var. dumosa,A,P00729553,1978.1290*Q,200,Sir Harold Hillier Garden (Romsey U.K.),,,,HM367585,
Fraxinus xanthoxyloides var. dumosa,A,P00729673,,67,Arboretum Ch̬vreloup (Rocquencourt France),,,,HM367586,HM222917
